archivo,original,kb,categoria,candidata_cvat,prioridad,observacion
casma_2026-05-25_001.jpg,WhatsApp Image 2026-05-25 at 1.00.07 PM.jpeg,469,contexto,no,no,Documentacion de campo: manejo del cultivo / personas / trampas
casma_2026-05-25_002.jpg,WhatsApp Image 2026-05-25 at 12.56.25 PM (1).jpeg,374,panicula,si,media,Inflorescencia con posible cenicilla o necrosis (toma media)
casma_2026-05-25_003.jpg,WhatsApp Image 2026-05-25 at 12.56.25 PM.jpeg,316,contexto,no,no,Trampa de mosca de la fruta (manejo del cultivo)
casma_2026-05-25_004.jpg,WhatsApp Image 2026-05-25 at 12.56.26 PM (1).jpeg,274,panicula,si,media,Inflorescencia con posible cenicilla o necrosis (toma media)
casma_2026-05-25_005.jpg,WhatsApp Image 2026-05-25 at 12.56.26 PM (2).jpeg,657,contexto,no,no,Documentacion de campo: fumigacion con mochila
casma_2026-05-25_006.jpg,WhatsApp Image 2026-05-25 at 12.56.26 PM (3).jpeg,264,sintoma_macro,si,alta,Yema/inflorescencia con malformacion floral o agalla / cenicilla en boton (close-up nitido)
casma_2026-05-25_007.jpg,WhatsApp Image 2026-05-25 at 12.56.26 PM (4).jpeg,396,hoja_brote,opcional,baja,Hoja o brote, sintoma leve o tejido sano
casma_2026-05-25_008.jpg,WhatsApp Image 2026-05-25 at 12.56.26 PM (5).jpeg,557,contexto,no,no,Documentacion de campo: fumigacion en hilera
casma_2026-05-25_009.jpg,WhatsApp Image 2026-05-25 at 12.56.26 PM.jpeg,306,panicula,si,media,Inflorescencia con posible cenicilla o necrosis (toma media)
casma_2026-05-25_010.jpg,WhatsApp Image 2026-05-25 at 12.56.27 PM (1).jpeg,182,sintoma_macro,si,alta,Yema/inflorescencia con malformacion floral o agalla / cenicilla en boton (close-up nitido)
casma_2026-05-25_011.jpg,WhatsApp Image 2026-05-25 at 12.56.27 PM (2).jpeg,375,panicula,si,media,Inflorescencia con posible cenicilla o necrosis (toma media)
casma_2026-05-25_012.jpg,WhatsApp Image 2026-05-25 at 12.56.27 PM (3).jpeg,151,sintoma_macro,si,alta,Yema/inflorescencia con malformacion floral o agalla / cenicilla en boton (close-up nitido)
casma_2026-05-25_013.jpg,WhatsApp Image 2026-05-25 at 12.56.27 PM (4).jpeg,568,contexto,no,no,Documentacion de campo: deshierbe manual
casma_2026-05-25_014.jpg,WhatsApp Image 2026-05-25 at 12.56.27 PM (5).jpeg,418,contexto,no,no,Documentacion de campo: fumigacion con bomba manual
casma_2026-05-25_015.jpg,WhatsApp Image 2026-05-25 at 12.56.27 PM.jpeg,735,contexto,no,no,Documentacion de campo: personal en hilera
casma_2026-05-25_016.jpg,WhatsApp Image 2026-05-25 at 12.56.28 PM (1).jpeg,731,arbol,no,no,Arbol completo con trampa (panoramica)
casma_2026-05-25_017.jpg,WhatsApp Image 2026-05-25 at 12.56.28 PM (2).jpeg,512,contexto,no,no,Documentacion de campo: personal junto a arbol con frutos
casma_2026-05-25_018.jpg,WhatsApp Image 2026-05-25 at 12.56.28 PM (3).jpeg,363,panicula,si,media,Inflorescencia con manchas oscuras (posible fumagina/cenicilla)
casma_2026-05-25_019.jpg,WhatsApp Image 2026-05-25 at 12.56.28 PM (4).jpeg,374,panicula,si,media,Inflorescencia con cenicilla (polvillo blanco) close-up
casma_2026-05-25_020.jpg,WhatsApp Image 2026-05-25 at 12.56.28 PM (5).jpeg,671,contexto,no,no,Documentacion de campo: fumigacion con mochila
casma_2026-05-25_021.jpg,WhatsApp Image 2026-05-25 at 12.56.28 PM (6).jpeg,530,hoja_brote,opcional,baja,Hojas, sintoma leve o tejido sano
casma_2026-05-25_022.jpg,WhatsApp Image 2026-05-25 at 12.56.28 PM.jpeg,204,sintoma_macro,si,alta,Botones florales con necrosis / malformacion (close-up nitido)
casma_2026-05-25_023.jpg,WhatsApp Image 2026-05-25 at 12.56.29 PM (1).jpeg,210,panicula,si,media,Inflorescencia seca/necrosada con frutos pequenos (macro)
casma_2026-05-25_024.jpg,WhatsApp Image 2026-05-25 at 12.56.29 PM (2).jpeg,372,panicula,si,media,Inflorescencia (toma media)
casma_2026-05-25_025.jpg,WhatsApp Image 2026-05-25 at 12.56.29 PM (3).jpeg,282,panicula,si,media,Inflorescencia necrosada (macro)
casma_2026-05-25_026.jpg,WhatsApp Image 2026-05-25 at 12.56.29 PM (4).jpeg,164,hoja_brote,opcional,baja,Brote floral con puntas de hoja necrosadas
casma_2026-05-25_027.jpg,WhatsApp Image 2026-05-25 at 12.56.29 PM (5).jpeg,539,contexto,no,no,Documentacion de campo: fumigacion en hilera
casma_2026-05-25_028.jpg,WhatsApp Image 2026-05-25 at 12.56.29 PM.jpeg,182,sintoma_macro,si,alta,Botones deformados / malformacion floral (close-up nitido)
